Artist,Status,Details
Remiwolf,Warning,Stubhub: Got 0
Rich Amiri,Warning,Stubhub: Got 0
Riley Green,Warning,"Twitter: Got 0, Stubhub: Got 0"
Robin Schulz,Warning,Stubhub: Got 0
Ryan Castro,Warning,"IG: Got 0, Spotify Fol: Got 0, Spotify Lis: Got 0, Twitter: Got 0, Stubhub: Got 0"
Sabrina Carpenter,Warning,Stubhub: Got 0
Saint Levant,Warning,"Twitter: Got 0, Stubhub: Got 0"
Sasha Alex Sloan,Warning,Twitter: Got 0
Shakira,Warning,Stubhub: Got 0
Sidepiece,Warning,"IG: Got 0, Spotify Fol: Got 0, Spotify Lis: Got 0, Twitter: Got 0, Stubhub: Got 0"
Stereophonics,Warning,"Twitter: Got 0, Stubhub: Got 0"
Steve Angello,Warning,Stubhub: Got 0
Sting,Warning,"IG: Got 0, Spotify Fol: Got 0, Spotify Lis: Got 0, Twitter: Got 0, Stubhub: Got 0"
Stray Kids,Warning,Stubhub: Got 0
Tape B,Warning,Stubhub: Got 0
Teddy Swims,Warning,Stubhub: Got 0
Testpilot X Jauz,Warning,Twitter: Got 0
The Basemnt Yard,Warning,"IG: Got 0, Spotify Fol: Got 0, Spotify Lis: Got 0, Twitter: Got 0, Stubhub: Got 0"
The Fray,Warning,Stubhub: Got 0
The Red Clay Strays,Warning,Stubhub: Got 0
The Weekend,Warning,Stubhub: Got 0
Tinflicker,Warning,Twitter: Got 0
Tinzo,Warning,"Twitter: Got 0, Stubhub: Got 0"
Tokyo Police Club,Warning,Stubhub: Got 0
Tommy Richman,Warning,Stubhub: Got 0
Trisha Paytas,Warning,"Twitter: Got 0, Stubhub: Got 0"
Under Oath,Warning,Twitter: Got 0
Valorant,Warning,"IG: Got 0, Spotify Fol: Got 0, Spotify Lis: Got 0, Twitter: Got 0, Stubhub: Got 0"
Westend,Warning,Stubhub: Got 0
Will Sparks,Warning,Stubhub: Got 0
Wwe,Warning,Stubhub: Got 0
Yuridia,Warning,Twitter: Got 0
Zhou Shen,Warning,Stubhub: Got 0
Zorza,Warning,"Twitter: Got 0, Stubhub: Got 0"
Zulan,Warning,"Spotify Lis: Got 0, Stubhub: Got 0"
